10-MINUTE WALK PROFILING REPORT
==================================
Date: 2026-05-27T07:27:03.197Z
Total Frames Measured: 16116
Approx Average FPS: 131.6
Average Frame Time: 7.60ms
95th Percentile Frame Time: 34.70ms
99th Percentile Frame Time: 66.30ms
Max Frame Time (Worst): 151.00ms
Frames > 16.7ms (dropped): 1889
Frames > 33.3ms (SPIKE): 886

Active Objects (End of Run):
  Chunks: 63
  PointLights: 8
  Colliders: 476
  Player Position: x=0.0, z=-1769.2

Stability Analysis (Second Half of Run):
  Geometries: min=21, max=91 (delta=70)
  Textures: min=9, max=9 (delta=0)
  Colliders: min=438, max=518 (delta=80)
  JS Heap: min=19.9MB, max=80.3MB

Metrics History:
Time: 185.6s, FPS: 36, Geo: 56, Tex: 9, DrawCalls: 135, Triangles: 4900, Heap: 27.7MB, Colliders: 478
Time: 187.6s, FPS: 30, Geo: 56, Tex: 9, DrawCalls: 116, Triangles: 4344, Heap: 37.6MB, Colliders: 478
Time: 189.6s, FPS: 20, Geo: 56, Tex: 9, DrawCalls: 140, Triangles: 15116, Heap: 50.4MB, Colliders: 476
Time: 191.6s, FPS: 33, Geo: 56, Tex: 9, DrawCalls: 128, Triangles: 14868, Heap: 21.3MB, Colliders: 476
Time: 193.6s, FPS: 36, Geo: 56, Tex: 9, DrawCalls: 153, Triangles: 5672, Heap: 32.4MB, Colliders: 473
Time: 195.7s, FPS: 34, Geo: 56, Tex: 9, DrawCalls: 138, Triangles: 5368, Heap: 39.7MB, Colliders: 473
Time: 197.7s, FPS: 32, Geo: 56, Tex: 9, DrawCalls: 115, Triangles: 4164, Heap: 21.0MB, Colliders: 473
Time: 199.7s, FPS: 28, Geo: 42, Tex: 9, DrawCalls: 146, Triangles: 5464, Heap: 41.6MB, Colliders: 462
Time: 201.7s, FPS: 35, Geo: 42, Tex: 9, DrawCalls: 125, Triangles: 14568, Heap: 49.2MB, Colliders: 462
Time: 203.7s, FPS: 27, Geo: 49, Tex: 9, DrawCalls: 157, Triangles: 15492, Heap: 50.6MB, Colliders: 464
Time: 205.8s, FPS: 20, Geo: 49, Tex: 9, DrawCalls: 147, Triangles: 15392, Heap: 25.3MB, Colliders: 464
Time: 207.8s, FPS: 20, Geo: 49, Tex: 9, DrawCalls: 123, Triangles: 4596, Heap: 47.2MB, Colliders: 464
Time: 209.8s, FPS: 30, Geo: 56, Tex: 9, DrawCalls: 167, Triangles: 5596, Heap: 23.7MB, Colliders: 466
Time: 211.8s, FPS: 30, Geo: 56, Tex: 9, DrawCalls: 149, Triangles: 14760, Heap: 35.0MB, Colliders: 466
Time: 213.8s, FPS: 29, Geo: 42, Tex: 9, DrawCalls: 175, Triangles: 15852, Heap: 20.7MB, Colliders: 462
Time: 215.9s, FPS: 30, Geo: 42, Tex: 9, DrawCalls: 163, Triangles: 15416, Heap: 20.8MB, Colliders: 462
Time: 217.9s, FPS: 27, Geo: 42, Tex: 9, DrawCalls: 139, Triangles: 14632, Heap: 41.1MB, Colliders: 462
Time: 219.9s, FPS: 27, Geo: 42, Tex: 9, DrawCalls: 165, Triangles: 15728, Heap: 37.4MB, Colliders: 461
Time: 221.9s, FPS: 20, Geo: 42, Tex: 9, DrawCalls: 132, Triangles: 5168, Heap: 34.5MB, Colliders: 461
Time: 223.9s, FPS: 31, Geo: 42, Tex: 9, DrawCalls: 148, Triangles: 5972, Heap: 43.0MB, Colliders: 475
Time: 225.9s, FPS: 38, Geo: 42, Tex: 9, DrawCalls: 138, Triangles: 5584, Heap: 32.7MB, Colliders: 475
Time: 228.0s, FPS: 28, Geo: 42, Tex: 9, DrawCalls: 113, Triangles: 4572, Heap: 49.3MB, Colliders: 475
Time: 230.0s, FPS: 29, Geo: 42, Tex: 9, DrawCalls: 152, Triangles: 5608, Heap: 29.3MB, Colliders: 476
Time: 232.0s, FPS: 28, Geo: 42, Tex: 9, DrawCalls: 137, Triangles: 5156, Heap: 36.4MB, Colliders: 476
Time: 234.0s, FPS: 29, Geo: 49, Tex: 9, DrawCalls: 148, Triangles: 5728, Heap: 31.5MB, Colliders: 479
Time: 236.0s, FPS: 34, Geo: 49, Tex: 9, DrawCalls: 141, Triangles: 5476, Heap: 36.8MB, Colliders: 479
Time: 238.0s, FPS: 28, Geo: 49, Tex: 9, DrawCalls: 115, Triangles: 4476, Heap: 39.7MB, Colliders: 479
Time: 240.1s, FPS: 20, Geo: 49, Tex: 9, DrawCalls: 157, Triangles: 16172, Heap: 20.9MB, Colliders: 490
Time: 242.1s, FPS: 37, Geo: 49, Tex: 9, DrawCalls: 139, Triangles: 15144, Heap: 42.5MB, Colliders: 490
Time: 244.1s, FPS: 30, Geo: 56, Tex: 9, DrawCalls: 144, Triangles: 15224, Heap: 48.0MB, Colliders: 473
Time: 246.1s, FPS: 29, Geo: 56, Tex: 9, DrawCalls: 163, Triangles: 15752, Heap: 23.5MB, Colliders: 494
Time: 248.2s, FPS: 25, Geo: 56, Tex: 9, DrawCalls: 131, Triangles: 4980, Heap: 26.3MB, Colliders: 494
Time: 250.2s, FPS: 20, Geo: 56, Tex: 9, DrawCalls: 171, Triangles: 6148, Heap: 46.6MB, Colliders: 494
Time: 252.2s, FPS: 23, Geo: 56, Tex: 9, DrawCalls: 140, Triangles: 4688, Heap: 33.9MB, Colliders: 494
Time: 254.2s, FPS: 29, Geo: 42, Tex: 9, DrawCalls: 132, Triangles: 4896, Heap: 43.7MB, Colliders: 466
Time: 256.3s, FPS: 49, Geo: 42, Tex: 9, DrawCalls: 148, Triangles: 5464, Heap: 45.3MB, Colliders: 490
Time: 258.3s, FPS: 29, Geo: 42, Tex: 9, DrawCalls: 126, Triangles: 4680, Heap: 46.8MB, Colliders: 490
Time: 260.3s, FPS: 30, Geo: 42, Tex: 9, DrawCalls: 141, Triangles: 5236, Heap: 43.3MB, Colliders: 487
Time: 262.3s, FPS: 34, Geo: 42, Tex: 9, DrawCalls: 127, Triangles: 14400, Heap: 46.6MB, Colliders: 487
